Code,Airport
ANS,Andahuaylas Airport
ANU,V.C. Bird International Airport
ANV,Anvik Airport
ANW,Ainsworth Regional Airport
ANX,And??ya Airport
ANY,Anthony Municipal Airport
ANZ,Angus Downs Airport
AOA,Aroa Airport
AOB,Annanberg Airport
AOC,Altenburg-Nobitz Airport
AOD,Abou-De??a Airport
AOE,Anadolu Airport
AOG,Anshan Air Base
AOH,Lima Allen County Airport
AOI,Ancona Falconara Airport
AOJ,Aomori Airport
AOK,Karpathos Airport
AOL,Paso De Los Libres Airport
AOM,Adam Airport
AOO,Altoona Blair County Airport
AOP,Alferez FAP Alfredo Vladimir Sara Bauer Airport
AOR,Sultan Abdul Halim Airport
AOS,Amook Bay Seaplane Base
AOT,Aosta Airport
AOU,Attopeu Airport
APA,Centennial Airport
APB,Apolo Airport
APC,Napa County Airport
APE,San Juan Aposento Airport
APF,Naples Municipal Airport
APG,Phillips Army Air Field
APH,A P Hill AAF (Fort A P Hill) Airport
API,Gomez Nino Apiay Air Base
APK,Apataki Airport
APL,Nampula Airport
APN,Alpena County Regional Airport
APO,Antonio Roldan Betancourt Airport
APP,Asapa Airport
APQ,Arapiraca Airport
APR,April River Airport
APS,An?­polis Airport
APT,Marion County Brown Field
APU,Captain Jo?œo Busse Airport
APV,Apple Valley Airport
APW,Faleolo International Airport
APX,Arapongas Airport
APY,Alto Parna??ba Airport
APZ,Zapala Airport
AQA,Araraquara Airport
AQB,Santa Cruz del Quiche Airport
AQG,Anqing Tianzhushan Airport
AQI,Al Qaisumah/Hafr Al Batin Airport
AQJ,Aqaba King Hussein International Airport
AQM,Nova Vida Airport
AQP,Rodr??guez Ball??n International Airport
AQS,Biaugunu Airport
AQY,Girdwood Airport
ARA,Acadiana Regional Airport
ARB,Ann Arbor Municipal Airport
ARC,Arctic Village Airport
ARD,Mali Airport
ARE,Antonio Nery Juarbe Pol Airport
ARF,Acaricuara Airport
ARG,Walnut Ridge Regional Airport
ARH,Talagi Airport
ARI,Chacalluta Airport
ARJ,Arso Airport
ARK,Arusha Airport
ARL,Arly Airport
ARM,Armidale Airport
ARN,Stockholm-Arlanda Airport
ARO,Arboletes Airport
ARP,Aragip Airport
ARQ,El Troncal Airport
ARR,D. Casimiro Szlapelis Airport
ARS,Aragar??as Airport
ART,Watertown International Airport
ARU,Ara??atuba Airport
ARV,Lakeland-Noble F. Lee Memorial field
ARW,Arad International Airport
ARX,Asbury Park Neptune Air Terminal
ARY,Ararat Airport
ARZ,N'zeto Airport
ASA,Assab International Airport
ASB,Ashgabat International Airport
ASC,Ascenci??n De Guarayos Airport
ASD,Andros Town Airport
ASE,Aspen-Pitkin Co/Sardy Field
ASF,Astrakhan Airport
ASG,Ashburton Aerodrome
ASH,Boire Field
ASI,RAF Ascension Island
ASJ,Amami Airport
ASK,Yamoussoukro Airport
ASL,Harrison County Airport
ASM,Asmara International Airport
ASN,Talladega Municipal Airport
ASO,Asosa Airport
ASP,Alice Springs Airport
ASQ,Austin Airport
ASR,Kayseri Erkilet Airport
ASS,Arathusa Safari Lodge Airport
AST,Astoria Regional Airport
ASU,Silvio Pettirossi International Airport
ASV,Amboseli Airport
ASW,Aswan International Airport
ASX,John F Kennedy Memorial Airport
ASY,Ashley Municipal Airport
ASZ,Asirim Airport
ATA,Comandante FAP German Arias Graziani Airport
ATB,Atbara Airport
ATC,Arthur's Town Airport
ATD,Uru Harbour Airport
ATE,Antlers Municipal Airport
ATF,Chacho?­n Airport
ATG,Minhas Air Base
ATH,Eleftherios Venizelos International Airport
ATI,Artigas International Airport
ATJ,Antsirabe Airport
ATK,Atqasuk Edward Burnell Sr Memorial Airport
ATL,Hartsfield Jackson Atlanta International Airport
ATM,Altamira Airport
ATN,Namatanai Airport
ATO,Ohio University Snyder Field
ATP,Aitape Airport
ATQ,Sri Guru Ram Dass Jee International Airport
ATR,Atar International Airport
ATS,Artesia Municipal Airport
ATT,Atmautluak Airport
ATU,Casco Cove Coast Guard Station
ATV,Ati Airport
ATW,Appleton International Airport
ATX,Atbasar Airport
ATY,Watertown Regional Airport
ATZ,Assiut International Airport
AUA,Queen Beatrix International Airport
AUC,Santiago Perez Airport
AUD,Augustus Downs Airport
AUE,Abu Rudeis Airport
AUF,Auxerre-Branches Airport
AUG,Augusta State Airport
AUH,Abu Dhabi International Airport
AUI,Aua Island Airport
AUJ,Ambunti Airport
AUK,Alakanuk Airport
AUL,Aur Island Airport
AUM,Austin Municipal Airport
AUN,Auburn Municipal Airport
AUO,Auburn University Regional Airport
AUP,Agaun Airport
AUQ,Hiva Oa-Atuona Airport
AUR,Aurillac Airport
AUS,Austin Robert Mueller Municipal
AUS,Austin Bergstrom International Airport
AUT,Atauro Airport
AUU,Aurukun Airport
AUV,Aumo Airport
AUW,Wausau Downtown Airport
AUX,Aragua??na Airport
AUY,Aneityum Airport
AUZ,Aurora Municipal Airport
AVA,Anshun Huangguoshu Airport
AVB,Aviano Air Base
AVG,Auvergne Airport
AVI,Maximo Gomez Airport
AVK,Arvaikheer Airport
AVL,Asheville Regional Airport
AVN,Avignon-Caumont Airport
AVO,Avon Park Executive Airport
AVP,Wilkes Barre Scranton International Airport
AVR,Alverca Air Base
AVU,Avu Avu Airport
AVV,Avalon Airport
AVW,Marana Regional Airport
AVX,Catalina Airport
AWA,Awassa Airport
AWB,Awaba Airport
AWD,Aniwa Airport
AWE,Alowe Airport
AWK,Wake Island Airfield
AWM,West Memphis Municipal Airport
AWN,Alton Downs Airport
AWP,Austral Downs Airport
AWR,Awar Airport
AWZ,Ahwaz Airport
AXA,Clayton J Lloyd International Airport
AXB,Maxson Airfield
AXC,Aramac Airport
AXD,Dimokritos Airport
AXE,Xanxer?¦ Airport
AXF,Alxa Left Banner Bayanhot Airport
AXG,Algona Municipal Airport
AXJ,Amakusa Airport
AXK,Ataq Airport
AXL,Alexandria Homestead Airport
AXM,El Eden Airport
AXN,Chandler Field
AXP,Spring Point Airport
AXR,Arutua Airport
AXS,Altus Quartz Mountain Regional Airport
AXT,Akita Airport
AXU,Axum Airport
AXV,Neil Armstrong Airport
AXX,Angel Fire Airport
AYA,Ayapel Airport
AYC,Ayacucho Airport
AYD,Alroy Downs Airport
AYE,Ft Devens Moore Army Air Field
AYG,Yaguara Airport
AYH,RAF Alconbury
AYI,Yari Airport
AYK,Arkalyk North Airport
AYL,Anthony Lagoon Airport
AYM,Yas Island Seaplane Base
AYN,Anyang Airport
AYO,Juan De Ayolas Airport
AYP,Coronel FAP Alfredo Mendivil Duarte Airport
